method,endpoint,resource,admin,chunhiem,phuta,phuhuynh,publicAccess,tenant,object,evidence,note
"GET","/health","health","PUBLIC_MINIMAL","PUBLIC_MINIMAL","PUBLIC_MINIMAL","PUBLIC_MINIMAL","PUBLIC_MINIMAL","Infrastructure; no user/tenant records","PUBLIC_MINIMAL","server/src/routes/health.ts:35","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/ready","health","OPS_TOKEN","OPS_TOKEN","OPS_TOKEN","OPS_TOKEN","OPS_TOKEN","Infrastructure; no user/tenant records","OPS_TOKEN","server/src/routes/health.ts:61","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/metrics","health","OPS_TOKEN","OPS_TOKEN","OPS_TOKEN","OPS_TOKEN","OPS_TOKEN","Infrastructure; no user/tenant records","OPS_TOKEN","server/src/routes/health.ts:87","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/csp-report","cspReport","PUBLIC_REPORT_INGEST","PUBLIC_REPORT_INGEST","PUBLIC_REPORT_INGEST","PUBLIC_REPORT_INGEST","PUBLIC_REPORT_INGEST","Telemetry only; bounded ingestion","PUBLIC_REPORT_INGEST","server/src/routes/cspReport.ts:25","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/auth/login","auth","CREDENTIALS","CREDENTIALS","CREDENTIALS","CREDENTIALS","CREDENTIALS","Body parishId; explicit default gia-ton; DB username+parish","CREDENTIALS","server/src/routes/auth.ts:117","D8 enumeration; D6 LOCKED exception"
"POST","/api/auth/change-password","auth","SELF","SELF","SELF","SELF","DENY","JWT parishId; no cross-tenant authority","SELF","server/src/routes/auth.ts:234","D5 stale verification before transaction; D4 forced-state allowlist"
"POST","/api/auth/parent-reset-password","auth","410_REMOVED","410_REMOVED","410_REMOVED","410_REMOVED","410_REMOVED","No recovery performed","410_REMOVED","server/src/routes/auth.ts:304","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/auth/admin-change-password","auth","TENANT+ADMIN_REAUTH","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT+ADMIN_REAUTH","server/src/routes/auth.ts:320","Protected superadmin target; D4 and D6 exceptions"
"POST","/api/auth/refresh","auth","REFRESH_COOKIE","REFRESH_COOKIE","REFRESH_COOKIE","REFRESH_COOKIE","REFRESH_COOKIE+ORIGIN","Signed refresh claims + hashed session","REFRESH_COOKIE","server/src/routes/auth.ts:366","Rotation/reuse; legacy version gap H1"
"POST","/api/auth/logout","auth","SELF","SELF","SELF","SELF","DENY","JWT parishId; no cross-tenant authority","SELF","server/src/routes/auth.ts:383","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/auth/me","auth","SELF","SELF","SELF","SELF","DENY","JWT parishId; no cross-tenant authority","SELF","server/src/routes/auth.ts:412","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"PUT","/api/auth/profile","auth","SELF","SELF","SELF","SELF","DENY","JWT parishId; no cross-tenant authority","SELF","server/src/routes/auth.ts:426","Self fullName/phone; parent phone change prohibited; no role/username update"
"POST","/api/students/validate","import","TENANT_OBJECT_D11","ASSIGNED_CLASS_D11","DENY_ROLE","DENY_ROLE","DENY","Student predicate uses JWT parishId; D11 class JOIN omits parishId","ASSIGNED_CLASS; D11 conditional foreign class metadata","server/src/routes/import.ts:30","Assigned-class import; D11 duplicate preview can join same-ID class from another parish; undo admin-only; history/detail CN owner-only"
"POST","/api/students/import","import","TENANT_OBJECT","ASSIGNED_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ASSIGNED_CLASS","server/src/routes/import.ts:71","Assigned-class import; undo admin-only; history/detail CN owner-only; same /api/students mount order covered"
"POST","/api/students/undo/:batchId","import","TENANT_IMPORT_METADATA","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_IMPORT_METADATA","server/src/routes/import.ts:101","Assigned-class import; undo admin-only; history/detail CN owner-only; same /api/students mount order covered"
"GET","/api/students/history","import","ADMIN_OR_BATCH_OWNER","ADMIN_OR_BATCH_OWNER","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ADMIN_OR_BATCH_OWNER","server/src/routes/import.ts:113","Assigned-class import; undo admin-only; history/detail CN owner-only; same /api/students mount order covered"
"GET","/api/students/mappings","import","TENANT_IMPORT_METADATA","TENANT_IMPORT_METADATA","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_IMPORT_METADATA","server/src/routes/import.ts:124","Assigned-class import; undo admin-only; history/detail CN owner-only; same /api/students mount order covered"
"POST","/api/students/mappings","import","ASSIGNED_CLASS_OR_STUDENT","ASSIGNED_CLASS_OR_STUDENT","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ASSIGNED_CLASS_OR_STUDENT","server/src/routes/import.ts:132","Assigned-class import; undo admin-only; history/detail CN owner-only; same /api/students mount order covered"
"DELETE","/api/students/mappings/:id","import","TENANT_IMPORT_METADATA","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_IMPORT_METADATA","server/src/routes/import.ts:172","Assigned-class import; undo admin-only; history/detail CN owner-only; same /api/students mount order covered"
"GET","/api/students/batch/:batchId","import","ADMIN_OR_BATCH_OWNER","ADMIN_OR_BATCH_OWNER","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ADMIN_OR_BATCH_OWNER","server/src/routes/import.ts:179","Assigned-class import; undo admin-only; history/detail CN owner-only; same /api/students mount order covered"
"GET","/api/students","students","TENANT_ROSTER","TENANT_ROSTER","TENANT_ROSTER","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_ROSTER","server/src/routes/students.ts:47","GLV parish-wide reads intentional; writes scoped; parent staff endpoint denied"
"GET","/api/students/:id","students","TENANT_ROSTER","TENANT_ROSTER","TENANT_ROSTER","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_ROSTER","server/src/routes/students.ts:59","GLV parish-wide reads intentional; writes scoped; parent staff endpoint denied"
"POST","/api/students","students","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/students.ts:67","GLV parish-wide reads intentional; writes scoped; parent staff endpoint denied"
"PUT","/api/students/:id","students","TENANT_OBJECT","CURRENT_STUDENT_CLASS","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","CURRENT_STUDENT_CLASS","server/src/routes/students.ts:98","GLV parish-wide reads intentional; writes scoped; parent staff endpoint denied"
